OCCUPATION_TYPE,EMP_FEIN,EMP_NAICS,EMP_NUM_PAYROLL,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,JOB_AVG_WAGE,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_POSTAL_CODE,PRIMARY_WORKSITE_BLS_AREA,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Non-professional,47-1113427,721110,10,2014,Digital Marketing Coordinator ,"$39,416.00","$39,416.00",Year,,Business Premises,HONOLULU,HI,96815,"Urban Honolulu, HI",Y,N,N
Professional occupation,41-2150645,541511,33,2006, Systems Analyst,"$84,781.00",,Year,"$84,781.00",Business Premises,Suwanee,GA,30024,"Atlanta-Sandy Springs-Roswell, GA",Y,N,N
Professional occupation,31-1260729,561422,20000,1988,Software Engineer,"$100,526.00","$100,526.00",Year,"$100,526.00",Business Premises,Cincinnati,OH,45202,"Cincinnati, OH-KY-IN",Y,N,N
Non-professional,22-2551637,48411,15,1986,Driver -  Tractor Trailer,"$58,490.00","$58,490.00",Year,,Business Premises,Bound Brook,NJ,08805,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,81-2885361,541110,20,2006,Associate Attorney,"$105,000.00","$110,000.00",Year,"$107,500.00",Business Premises,New York ,NY,10016,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,04-3461392,541519,1380,1999,Staff Engineer ,"$99,382.00",,Year,"$99,382.00",Business Premises,Westborough,MA,01581,"Worcester, MA-CT",Y,N,N
Non-professional,47-1158297,812113,1,2014,Nail Technician,$18.00,$20.00,Hour,,Business Premises,Tifton,GA,31794,South Georgia nonmetropolitan area,Y,N,N
Professional occupation,85-1487303,541110,7,1999,Legal Assistant,"$60,000.00",,Year,"$60,000.00",Business Premises,New York,NY,10016,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Professional occupation,85-0658167,54151,75,2020,SOFTWARE DEVELOPER,"$115,918.00",,Year,"$115,918.00",Business Premises,CRANBURY,NJ,08512,"New York-Newark-Jersey City, NY-NJ-PA",Y,N,N
Non-professional,87-1872531,926150,3,2021,Administrative Assistant,"$49,171.00","$49,171.00",Year,,Business Premises,Hollywood,FL,33019,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Non-professional,32-0535731,621610,13064,1989,Nursing Aide,$16.00,,Hour,,Business Premises,Cincinnati,OH,45241,"Cincinnati, OH-KY-IN",Y,N,N
Professional occupation,31-0650283,622110,253,1953,Laboratory Medical Technologist,"$51,480.00","$80,121.60",Year,"$65,800.80",Business Premises,Oxford,OH,45056,"Cincinnati, OH-KY-IN",Y,N,N
Non-professional,92-2006713,814110,0,2023,"Nanny, Live-Out","$42,182.00",,Year,,Employer's private household (includes live-in and domestic household worker),Cambridge,MA,02139,"Boston-Cambridge-Nashua, MA-NH",Y,N,N
Professional occupation,80-0203267,541330,7,2008,Electrical Engineer ,"$75,000.00",,Year,"$75,000.00",Business Premises,Fort Lauderdale,FL,33309,"Miami-Fort Lauderdale-West Palm Beach, FL",Y,N,N
Professional occupation,20-5751308,611110,92,2006,MATHEMATICS TEACHER,"$42,850.00","$42,850.00",Year,"$42,850.00",Business Premises,INDIANAPOLIS,IN,46254-3313,"Indianapolis-Carmel-Anderson, IN",Y,N,N
Non-professional,83-2801733,423310,9,2018,ADMINISTRATIVE ASSISTANT,"$37,170.00","$37,170.00",Year,,Business Premises,ORLANDO ,FL,32811,"Orlando-Kissimmee-Sanford, FL",Y,N,N
Professional occupation,84-2968594,541511,143,2008,Sr. Machine Learning Engineer,"$183,310.00","$200,000.00",Year,"$191,655.00",Business Premises,San Carlos,CA,94070,"San Francisco-Oakland-Hayward, CA",Y,N,N
Professional occupation,74-2782655,517410,8413,1897,Senior Software Engineer (Order Management),"$115,600.00","$192,600.00",Year,"$154,100.00",Business Premises,Dallas,TX,75202,"Dallas-Fort Worth-Arlington, TX",Y,N,N
Professional occupation,46-2412955,23713,5,2021,Tower Technician,"$70,699.00","$70,699.00",Year,"$70,699.00",Business Premises,Huntington Valley,PA,19006,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,N,N
College/University Teacher,31-6000989,611310,10553,1819,Assistant Professor of Clinical Medicine,"$220,000.00",,Year,,Business Premises,Cincinnati,OH,45219,"Cincinnati, OH-KY-IN",Y,N,N
Professional occupation,20-4477711,541330,32,2006,Equipment Engineer,"$70,000.00","$70,000.00",Year,"$70,000.00",Business Premises,LaGrange,GA,30240,Middle Georgia nonmetropolitan area,Y,N,N
