CASE_STATUS,OCCUPATION_TYPE,EMP_NAICS,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_BLS_AREA,IS_MULTIPLE_LOCATIONS,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Certified,Professional occupation,5416,2000,Test Automation Engineering Manager,"$139,200.00",,Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$115,800.00",,Year,Business Premises,Miami,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Certified,Professional occupation,5416,2000,Test Automation Engineering Specialist,"$109,075.00",,Year,Business Premises,Austin,TX,"Austin-Round Rock, TX",N,Y,N,N
Certified,Non-professional,445210,1999,Stockers,"$25,875.00","$25,875.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,App/Cloud Support Manager,"$140,462.00",,Year,Business Premises,Houston,TX,"Houston-The Woodlands-Sugar Land, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Technology Architecture Delivery Manager,"$153,000.00",,Year,Business Premises,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Certified,Professional occupation,5416,2000,Cloud Transformation & Architect Senior Manager,"$200,100.00",,Year,Business Premises,Philadelphia,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$174,075.00",,Year,Business Premises,Milwaukee,WI,"Milwaukee-Waukesha-West Allis, WI",N,Y,N,N
Certified,Non-professional,445210,1999,Housekeeper,"$21,923.00","$21,923.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$123,000.00",,Year,Business Premises,Hartford,CT,"Hartford-West Hartford-East Hartford, CT",N,Y,N,N
Certified,Non-professional,445210,1999,Housekeeper,"$21,923.00","$21,923.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Test Automation Engineering Specialist,"$109,075.00",,Year,Business Premises,Austin,TX,"Austin-Round Rock, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$114,878.00",,Year,Business Premises,Miami,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Certified,Professional occupation,5416,2000,Analytics Advisory Manager,"$132,600.00",,Year,Business Premises,Chicago,IL,"Chicago-Naperville-Elgin, IL-IN-WI",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$115,800.00",,Year,Business Premises,Miami,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Certified,Professional occupation,5416,2000,Business & Integration Architecture Associate Manager,"$130,000.00",,Year,Business Premises,St. Louis,MO,"St. Louis, MO-IL",N,Y,N,N
Certified,Non-professional,445210,1999,OFFICE CLERK,"$24,502.00","$24,502.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Non-professional,445210,1999,Stockers,"$25,875.00","$25,875.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Non-professional,445210,1999,OFFICE CLERK,"$24,502.00","$24,502.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Non-professional,445210,1999,Stockers,"$25,875.00","$25,875.00",Year,Business Premises,ENNIS,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Certified,Professional occupation,5416,2000,Application Development Manager,"$131,200.00",,Year,Business Premises,Hartford,CT,"Hartford-West Hartford-East Hartford, CT",N,Y,N,N
