CASE_STATUS,OCCUPATION_TYPE,EMP_NAICS,EMP_NUM_PAYROLL,EMP_YEAR_COMMENCED,JOB_TITLE,JOB_OPP_WAGE_FROM,JOB_OPP_WAGE_TO,JOB_OPP_WAGE_PER,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_CITY,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_BLS_AREA,IS_MULTIPLE_LOCATIONS,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_JOB_FOREIGN_LANGUAGE
Withdrawn,Non-professional,721110,10,2014,Digital Marketing Coordinator ,"$39,416.00","$39,416.00",Year,Business Premises,HONOLULU,HI,"Urban Honolulu, HI",N,Y,N,N
Withdrawn,Professional occupation,541511,33,2006, Systems Analyst,"$84,781.00",,Year,Business Premises,Suwanee,GA,"Atlanta-Sandy Springs-Roswell, GA",N,Y,N,N
Withdrawn,Professional occupation,561422,20000,1988,Software Engineer,"$100,526.00","$100,526.00",Year,Business Premises,Cincinnati,OH,"Cincinnati, OH-KY-IN",N,Y,N,N
Withdrawn,Non-professional,48411,15,1986,Driver -  Tractor Trailer,"$58,490.00","$58,490.00",Year,Business Premises,Bound Brook,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,541110,20,2006,Associate Attorney,"$105,000.00","$110,000.00",Year,Business Premises,New York ,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,541519,1380,1999,Staff Engineer ,"$99,382.00",,Year,Business Premises,Westborough,MA,"Worcester, MA-CT",N,Y,N,N
Withdrawn,Non-professional,812113,1,2014,Nail Technician,$18.00,$20.00,Hour,Business Premises,Tifton,GA,South Georgia nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,541110,7,1999,Legal Assistant,"$60,000.00",,Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,54151,75,2020,SOFTWARE DEVELOPER,"$115,918.00",,Year,Business Premises,CRANBURY,NJ,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Non-professional,926150,3,2021,Administrative Assistant,"$49,171.00","$49,171.00",Year,Business Premises,Hollywood,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Withdrawn,Non-professional,621610,13064,1989,Nursing Aide,$16.00,,Hour,Business Premises,Cincinnati,OH,"Cincinnati, OH-KY-IN",N,Y,N,N
Withdrawn,Professional occupation,622110,253,1953,Laboratory Medical Technologist,"$51,480.00","$80,121.60",Year,Business Premises,Oxford,OH,"Cincinnati, OH-KY-IN",N,Y,N,N
Withdrawn,Non-professional,814110,0,2023,"Nanny, Live-Out","$42,182.00",,Year,Employer's private household (includes live-in and domestic household worker),Cambridge,MA,"Boston-Cambridge-Nashua, MA-NH",N,Y,N,N
Withdrawn,Professional occupation,541330,7,2008,Electrical Engineer ,"$75,000.00",,Year,Business Premises,Fort Lauderdale,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",N,Y,N,N
Withdrawn,Professional occupation,611110,92,2006,MATHEMATICS TEACHER,"$42,850.00","$42,850.00",Year,Business Premises,INDIANAPOLIS,IN,"Indianapolis-Carmel-Anderson, IN",N,Y,N,N
Withdrawn,Non-professional,423310,9,2018,ADMINISTRATIVE ASSISTANT,"$37,170.00","$37,170.00",Year,Business Premises,ORLANDO ,FL,"Orlando-Kissimmee-Sanford, FL",N,Y,N,N
Withdrawn,Professional occupation,541511,143,2008,Sr. Machine Learning Engineer,"$183,310.00","$200,000.00",Year,Business Premises,San Carlos,CA,"San Francisco-Oakland-Hayward, CA",N,Y,N,N
Withdrawn,Professional occupation,517410,8413,1897,Senior Software Engineer (Order Management),"$115,600.00","$192,600.00",Year,Business Premises,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",N,Y,N,N
Withdrawn,Professional occupation,23713,5,2021,Tower Technician,"$70,699.00","$70,699.00",Year,Business Premises,Huntington Valley,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,N,N
Withdrawn,College/University Teacher,611310,10553,1819,Assistant Professor of Clinical Medicine,"$220,000.00",,Year,Business Premises,Cincinnati,OH,"Cincinnati, OH-KY-IN",N,Y,N,N
Withdrawn,Professional occupation,541330,32,2006,Equipment Engineer,"$70,000.00","$70,000.00",Year,Business Premises,LaGrange,GA,Middle Georgia nonmetropolitan area,N,Y,N,N
Withdrawn,Non-professional,722511,46,2018,Restaurant Manager,"$60,000.00",,Year,Business Premises,Stillwater,OK,Northwest Oklahoma nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,541511,81,2018,Firmware Engineer ,"$160,000.00","$160,000.00",Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Non-professional,7225,5,2011,Cook,"$23,754.00","$23,754.00",Year,Business Premises,Charlotte,NC,"Charlotte-Concord-Gastonia, NC-SC",N,Y,N,N
Withdrawn,Non-professional,812113,1,2014,Nail Technician,$18.00,$20.00,Hour,Business Premises,Tifton,GA,South Georgia nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,51781,5733,2000,Consultant-Business Intelligence,"$130,104.00",,Year,Business Premises,Irving ,TX,"Dallas-Fort Worth-Arlington, TX",Y,Y,N,N
Withdrawn,Professional occupation,523940,1285,1996,Associate 3/4 ,"$185,000.00","$250,000.00",Year,Business Premises,New York,NY,"New York-Newark-Jersey City, NY-NJ-PA",N,Y,N,N
Withdrawn,Professional occupation,51821,8,2020,Chief Technology Officer,"$150,000.00",,Year,Business Premises,Campbell,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,522298,1800,1993,Azure BI Support Lead,"$120,162.00",,Year,Business Premises,Austin,TX,"Austin-Round Rock, TX",N,Y,N,N
Withdrawn,Professional occupation,611110,149,2008,Chinese Lead Classroom Teacher,"$70,987.00","$86,026.00",Year,Business Premises,Washington,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",N,Y,N,Y
Withdrawn,Professional occupation,515210,4560,1993,Principal Engineer I,"$110,800.00","$196,400.00",Year,Business Premises,Greenwood Village,CO,"Denver-Aurora-Lakewood, CO",N,Y,N,N
Withdrawn,Non-professional,812113,1,2014,Nail Technician,$18.00,$20.00,Hour,Business Premises,Tifton,GA,South Georgia nonmetropolitan area,N,Y,N,N
Withdrawn,Professional occupation,551112,177559,1799,Software Engineer,"$117,900.00",,Year,Business Premises,Columbus,OH,"Columbus, OH",N,Y,N,N
Withdrawn,Professional occupation,238220,140,2017,Mechanical Engineer,"$161,886.00","$161,886.00",Year,Business Premises,Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Non-professional,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,Business Premises,City of Industry,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Professional occupation,541511,81,2018,Senior Backend Developer,"$205,000.00",,Year,Business Premises,San Jose,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,541330,203,2006,Technical Project Manager,"$127,199.88",,Year,Business Premises,Austin,TX,"Austin-Round Rock, TX",N,Y,N,N
Withdrawn,Professional occupation,72111,1659,1968,"Manager, Software Engineering","$146,076.00",,Year,Business Premises,Scottsdale,AZ,"Phoenix-Mesa-Scottsdale, AZ",N,Y,N,N
Withdrawn,College/University Teacher,611310,30000,1861,Assistant Professor Tenure Track,"$122,400.00",,Year,Business Premises,Seattle,WA,"Seattle-Tacoma-Bellevue, WA",N,Y,N,N
Withdrawn,Non-professional,3119,21,2019,Warehouse worker,"$32,240.00","$32,240.00",Year,Business Premises,City of Industry,CA,"Los Angeles-Long Beach-Anaheim, CA",N,Y,N,N
Withdrawn,Non-professional,23611,15,2020,Sales Representative,"$71,219.00","$71,219.00",Year,Business Premises,San Diego,CA,"San Diego-Carlsbad, CA",N,Y,N,N
Withdrawn,Professional occupation,541618,1500,2003,Commissioning Engineer II ,"$71,657.04",,Year,Business Premises,Beaverton ,OR,"Portland-Vancouver-Hillsboro, OR-WA",N,Y,N,N
Withdrawn,Professional occupation,3344,6195,1968,Analog Engineer,"$124,500.00","$195,380.00",Year,Business Premises,Santa Clara,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,Y,N,N
Withdrawn,Professional occupation,511210,800,2013,GTM Growth Senior Analyst,"$156,500.00","$185,000.00",Year,Business Premises,San Francisco,CA,"San Francisco-Oakland-Hayward, CA",N,Y,N,N
Withdrawn,Professional occupation,541611,1470,2004,Data Integration Architect,"$153,317.00",,Year,Business Premises,Atlanta,GA,"Atlanta-Sandy Springs-Roswell, GA",N,Y,N,N
